customer_id,full_name,email,phone,city,state,identity_key
1,Michael garcia,michael.garcia170@company.co,3569782234,San Diego,CA,michael.garcia170@company.co
2,Richard silva,,2074095938,New York,NY,2074095938
3,Michael rodriguez,michael.rodriguez95@gmail.com,2833604929,Dallas,TX,michael.rodriguez95@gmail.com
4,Susan anderson,susan.anderson96@yahoo.com,8086815771,Austin,TX,susan.anderson96@yahoo.com
5,Jessica anderson,jessica.anderson84@yahoo.com,2955014630,New York,NY,jessica.anderson84@yahoo.com
6,Mary hernandez,mary.hernandez10@outlook.com,4742674456,Phoenix,AZ,mary.hernandez10@outlook.com
7,Richard gonzalez,richard.gonzalez14@gmail.com,6797415119,San Diego,CA,richard.gonzalez14@gmail.com
8,Arjun kelly,arjun.kelly51@company.co,9599544228,Austin,TX,arjun.kelly51@company.co
9,Priya khan,priya.khan61@company.co,5249738251,San Diego,CA,priya.khan61@company.co
10,Liam khan,liam.khan137@gmail.com,8019603531,Phoenix,AZ,liam.khan137@gmail.com
11,Patricia davis,patricia.davis27@company.co,3947498350,Chicago,IL,patricia.davis27@company.co
12,Joseph smith,joseph.smith16@gmail.com,9364699201,Austin,TX,joseph.smith16@gmail.com
13,Michael jones,michael.jones154@outlook.com,6934292773,Dallas,TX,michael.jones154@outlook.com
14,Olivia jones,olivia.jones90@outlook.com,9707022680,Dallas,TX,olivia.jones90@outlook.com
15,Fatima rodriguez,fatima.rodriguez80@yahoo.com,4512885569,houston,TX,fatima.rodriguez80@yahoo.com
16,Wei wilson,wei.wilson149@company.co,9183174522,new york,NY,wei.wilson149@company.co
17,Robert silva,robert.silva174@gmail.com,7195938581,San Diego,CA,robert.silva174@gmail.com
18,Noah hernandez,noah.hernandez168@gmail.com,5419973754,Chicago,IL,noah.hernandez168@gmail.com
19,Jennifer chen,jennifer.chen49@outlook.com,,Houston,TX,jennifer.chen49@outlook.com
20,Liam garcia,liam.garcia54@gmail.com,7825087653,San Diego,CA,liam.garcia54@gmail.com
21,Patricia kelly,patricia.kelly139@company.co,7578606876,houston,TX,patricia.kelly139@company.co
22,Joseph martinez,joseph.martinez125@company.co,5936942747,Chicago,IL,joseph.martinez125@company.co
23,Jessica gonzalez,jessica.gonzalez11@yahoo.com,6693465339,Dallas,TX,jessica.gonzalez11@yahoo.com
